id,莆仙话,拼音,国际音标,释义,例句_莆仙话,例句_普通话,文化注释,来源
4798,身尸,sing1si1,ɬin21ni533,尸体。,,,,hinghwa-RAG词典
4799,身势,sing1se4,ɬin21ne42,身体；体格：～好第一要紧。,,,,hinghwa-RAG词典
4800,新色,sing1sek6,ɬin13ɬɛʔ21,有趣；有意思：拍游戏大～,,,,hinghwa-RAG词典
4801,新妇,sing1hu5,ɬim13mu21,媳妇，儿子的妻子。△蜀代大新妇，代代大囝孙（媳妇的个子高大，传下的代代儿孙个子都将是高大的）。②新娘：看～。,,,,hinghwa-RAG词典
4802,新妇囝,sing1hu5güä3,ɬim21mu13yɒ453,童养媳。,,,,hinghwa-RAG词典
4803,新妇房,sing1hu5bang2,ɬim21mu21aŋ13,新房。,,,,hinghwa-RAG词典
4804,新妇烧,sing1hu5siao1,ɬim21mu13liau533,刚过门的媳妇与各方面关系比较亲密。,,,,hinghwa-RAG词典
4805,承,sing2,ɬiŋ13,在下面接受：厝顶漏，面盆捧一个去～,,,,hinghwa-RAG词典
4806,承受,sing2,sing2siu5ɬin42niu21,承认：伊讲是我拍破厄，我无～（他说是我打破的，我不承认）,,,,hinghwa-RAG词典
4807,神帐顶,sing2diao4deng3,ɬin21niau55lɛŋ453,莆仙民居大厅后部福堂的上面，接大厅屋顶部位的悬空之处辟一长形神龛，供作放置历代公妈（祖宗）木主牌的地方。,,,参看【福堂】在第86页。,hinghwa-RAG词典
4808,蟳,sing2,ɬiŋ13,青蟹。,,,也叫【蟳囝】。,hinghwa-RAG词典
4809,蟳囝,sing2güä3,ɬiŋ13kyɒ453,,,,同【蟳】。,hinghwa-RAG词典
4810,蟳糜,sing2ma2,ɬim21ma13,用青蟹加入糯米中蒸成的干饭，是滋补的风味小吃。,,,,hinghwa-RAG词典
4811,婶妈,sing3ma3,ɬim21ma453,婶婆（叔公的妻子）。,,,,hinghwa-RAG词典
4812,婶娘,sing3niao2,ɬɛn13niau13,女人。,,,,hinghwa-RAG词典
4813,婶娘公,sing3niao2gang1,ɬin13niau13kaŋ533,泼辣的女人。,,,,hinghwa-RAG词典
4814,婶娘囝,sing3niao2güä3,ɬɛn13niau13yɒ453,女儿。,,,,hinghwa-RAG词典
4815,婶娘形,sing3niao2hing2,ɬin13niau21hiŋ13,男子却有女人的性情或行为举止。,,,也叫【婶娘相】，【男形女相】在第134页。,hinghwa-RAG词典
4816,婶娘相,sing3niao2süäng1,ɬin55niau55ɬyɒŋ533,,,,同【婶娘形】。,hinghwa-RAG词典
4817,盐,sing4,ɬiŋ42,用盐腌：～菜配,,,,hinghwa-RAG词典
4818,圣杯,sing4buai1,ɬim55muai533,圣珓，为吉卜。,,,,hinghwa-RAG词典
4819,沁门颅,sing5muai2lou2,ɬiŋ42muai21lɔu453,囟门，婴儿出生时头顶两块没有骨质的软窝。,,,,hinghwa-RAG词典
4820,甚么,sing5muai2,ɬɔm55muai13,什么：现时～时节（现在什么时候）,,,,hinghwa-RAG词典
4821,甚侬,sing5nang2,ɬin21naŋ13,谁。,,,也叫【许侬】：～写厄字即下好看（谁写的字这么好看）,hinghwa-RAG词典
4822,甚侬,sing5nang2,ɬin42naŋ13,什么人；谁：～叫汝来。,,,,hinghwa-RAG词典
4823,收（扌求）,siu1giu2,ɬiu13kiu21,收拾：别得～（不可收拾）。,,,,hinghwa-RAG词典
4824,收山,siu1sua1,ɬiu21lua533,比喻不再进行某种活动。,,,,hinghwa-RAG词典
4825,收水,siu1zui3,ɬiu21lui453,红薯芋头和某些水果放着，让水分蒸发。,,,,hinghwa-RAG词典
4826,收金拆楼,siu1ging1tia5lao2,ɬiu21kiŋ55thia21lau13,喻又收贿又整送贿赂的人。典出莆仙戏《杨家将》。,,,,hinghwa-RAG词典
4827,收性,siu1sa4,ɬiu13ɬa42,使性格不那么暴躁、急躁：岁头会穧咯，会～。,,,,hinghwa-RAG词典
4828,收埋,siu1mai2,ɬiu21ai13,埋葬。,,,,hinghwa-RAG词典
4829,收盘,siu1bua2,ɬiu21pua13,娘家接收女儿礼盘的礼俗。,,,,hinghwa-RAG词典
4830,收惊,siu1gia1,ɬiu21kia533,小儿受到惊吓后进行的一种宗教仪式疗法。,,,,hinghwa-RAG词典
4831,泅,siu2,ɬiu13,游：～过沟（游过小河）。,,,,hinghwa-RAG词典
4832,岫,siu4,ɬiu42,量词。相当于“窝”：蜀～鸟囝。,,,,hinghwa-RAG词典
4833,寿礼,siu5le3,ɬiu21le453,祝寿的礼物，有寿面（用红绳系头的线面）、寿蛋（用红纸束腰的鸡蛋）、花烛粉（纸花、蜡烛和花粉）等。,,,,hinghwa-RAG词典
4834,受领,siu5nia3,ɬiu21nia453,接受；接收：无好做厄课题，无侬肯～。②招认：伊伓肯～（他不肯认罪）。,,,,hinghwa-RAG词典
4835,思量,so1niao2,ɬo21niau13,想要：△狗～猪口舌（癞蛤蟆想吃天鹅肉）②思念：山伯～英台。③商量，还价。,,,,hinghwa-RAG词典
4836,斯文踏矩,so1mong2dä2gü3,ɬo21mɔŋ21tak1ky453,文质彬彬、循规蹈矩。,,,,hinghwa-RAG词典
4837,厮,so1,ɬo533,互相：～央,,,,hinghwa-RAG词典
4838,厮□,so1,so1mia3ɬo21,mia453互助。△～控胛脊（互相为对方推背。比喻双方都给对方好处的互利行为。含轻蔑意）,,,,hinghwa-RAG词典
4839,厮□担,so1mia3dä4,ɬo21mia13lɒ42,两个人挑重物时，挑空担的与挑重担的交换担子以达到休息的目的。,,,,hinghwa-RAG词典
4840,厮世,so1süä4,ɬo21ɬyɒ42,连续，相续：几架车～开行。,,,,hinghwa-RAG词典
4841,厮央,so1üäng1,ɬo21yɒŋ533,互相帮忙。也称厮倩、厮□：朋友之间齐～。,,,,hinghwa-RAG词典
4842,厮对,so1dui4,ɬo21tui42,相对：门～。,,,,hinghwa-RAG词典
4843,厮对面,so1dui4ming4,ɬo21lui55miŋ42,对面。,,,,hinghwa-RAG词典
4844,厮同纪,so1dang2gi3,ɬo21an21ni453,同龄：我岁头甲伊～（我跟他同龄）。,,,,hinghwa-RAG词典
4845,厮争,so1za1,ɬo21la533,相争：两个呆囝齐～搭聊物（两个孩子在争玩具）。,,,,hinghwa-RAG词典
4846,厮并,so1pia5,ɬo13phia21,相比较：我会合汝齐～？,,,,hinghwa-RAG词典
4847,厮别,so1bek6,o13βɛʔ1,相识：我甲伊伓～。,,,,hinghwa-RAG词典
4848,厮拖厮排,so1tua1so1be2,ɬo21thua21ɬo21pe13,互相影响：伊是乞侬～学坏落尾。,,,,hinghwa-RAG词典
4849,厮拍,so1pa5,ɬo13a21,打架：两个侬齐～。,,,,hinghwa-RAG词典
4850,厮拄,so1du3,ɬo21tu453,相抵消：欠格钱齐～。,,,,hinghwa-RAG词典
4851,厮知定,so1zai1dia5,ɬo21lai13lia21,相知。,,,,hinghwa-RAG词典
4852,厮相,so1siao4,ɬo21ɬiau42,对望；僵持：两侬～看甚侬（那个）会先去。,,,,hinghwa-RAG词典
4853,厮剌,so1cia5,ɬo13tshia21,用尖物互相对剌：～到血流滴蒂（血淋淋）。②互相攻讦：暗暗～。,,,,hinghwa-RAG词典
4854,厮骂,so1mä4,ɬo21mɒ42,对骂。△～无好话（骂人无好话）。,,,,hinghwa-RAG词典
4855,厮挨,so1e1,ɬo21e533,互相推搡。,,,,hinghwa-RAG词典
4856,厮顾,so1gou4,ɬo21kɔu42,互相照顾：呆囝无只厝（孩子不在家），两个老侬齐～。,,,,hinghwa-RAG词典
4857,厮请,so1cia3,ɬo21tshia453,互相请客。,,,,hinghwa-RAG词典
4858,厮勘带,so1kang4dua4,ɬo21kan55nua42,互相问候：途头遇着着～。,,,,hinghwa-RAG词典
4859,厮揽,so1lang3,ɬo21laŋ453,互相拥抱：～做蜀□（拥抱在一起）。,,,,hinghwa-RAG词典
4860,厮凿,so1cak7,ɬo21tshaʔ4,相打：△顶不合，下～（上头不合理，下头就互相打架）。,,,,hinghwa-RAG词典
4861,厮量,so1niao5,ɬo21niau13,还价。△猪刣了～价（喻事情做完了才谈价格）。,,,,hinghwa-RAG词典
4862,厮嗷,so1ao2,ɬo13au13,吵架：两个侬齐～。,,,,hinghwa-RAG词典
4863,厮摏,so1zëng1,ɬo21tsœŋ533,对面相撞：两个侬在弯角～着（两个人在拐弯处相撞）,,,,hinghwa-RAG词典
4864,昨厄年,so2ek6ning2,ɬo13ɛt4niŋ13,前年。,,,,hinghwa-RAG词典
4865,昨厄,so3ek6,ɬo21lɛʔ4,前天。,,,也叫【昨里厄】。,hinghwa-RAG词典
4866,昨内厄,so3li3ek6,ɬo13li21ɛʔ1,,,,同【昨厄】。,hinghwa-RAG词典
4867,锁头,so3tao2,ɬo13lau13,锁。,,,,hinghwa-RAG词典
4868,锁匙,so3si2,ɬo13li13,钥匙。,,,,hinghwa-RAG词典
4869,锁管,so3guai3,ɬo21uai453,鱿鱼。,,,,hinghwa-RAG词典
4870,四川婆,so4cäng1bo2,ɬo42lœm55mo13,四川女人，特指改革开放之初嫁到莆田的四川女人。,,,,hinghwa-RAG词典
4871,驷牛,so4gu2,ɬu13u13,水牛。△～屎大堆泼无肥（比喻虽然个子很大，但是没用）②昆虫天牛。,,,,hinghwa-RAG词典
4872,索,so5,ɬo21,粗麻绳。,,,,hinghwa-RAG词典
4873,索囝,so5güä3,ɬo55yɒ453,细绳。,,,,hinghwa-RAG词典
4874,索面,so5ming4,ɬo42miŋ21,,,,同【面】在第130页。,hinghwa-RAG词典
4875,索粉,so5hong3,ɬo55ɔŋ453,莆仙食品，用地瓜粉制成，冷却后成黑色胶状凝固条状物。△菜丸～（一道菜。又喻平常事物）。,,,,hinghwa-RAG词典
4876,秫米,sok7,ɬoʔ4,糯米。△做田阿伓别（不识）～，食斋阿伓别佛（喻外行）。,,,,hinghwa-RAG词典
4877,秫米煎,sok7bi3zeng1,ɬœʔ1pi13tsɛŋ533,莆田特色食品。煎糯米饭团。,,,,hinghwa-RAG词典
4878,零,sok7ning2leng2,ɬɔt1niŋ13lɛŋ13,用在数量词之后，表示“…多一点”，如三斤～,,,,hinghwa-RAG词典
4879,蜀,sok7,ɬɔʔ4,壹。,,,,hinghwa-RAG词典
4880,蜀…无蜀…,sok7…bo2sok7…,ɬɔʔ4…po13lɔʔ4…,嵌入量词等，相当于“一…也没有”：帕（口袋）里蜀分无蜀分,,,,hinghwa-RAG词典
4881,蜀…笃…,sok7…ziu5…,ɬɔʔ4…tɔʔ1…,相当于“一…就…”，如：伊～讲面～红,,,,hinghwa-RAG词典
4882,蜀下,sok7gä5,ɬɔk1kɒ21,副词，一齐；一道：阿弟合汝齐～去,,,,hinghwa-RAG词典
4883,蜀下手,sok7kä5ciu3,ɬɔk1kɒ13liu453,顺便：汝卜去上班，央我将者卷册～带乞老王。,,,,hinghwa-RAG词典
4884,蜀下去,sok7gä5kü4,ɬɔʔ1kɒ55y42,一同；一起去：这两蔸包菜～都卖乞汝。,,,,hinghwa-RAG词典
4885,蜀下去,sok7kä5kü4,ɬɔk1kɒ55y42,一起：者两兜包菜～都卖乞汝。,,,,hinghwa-RAG词典
4886,蜀个,sok7ge2,ɬɔk1ke13,一元。,,,也叫【蜀个番】。,hinghwa-RAG词典
4887,蜀个番,sok7ge2,sok7ge2huang1ɔu21e1,3o453,,,同【蜀个】。,hinghwa-RAG词典
4888,蜀日到暗,sok7dik7gao4ang4,ɬɔt1tiʔ4kau55aŋ42,一天到晚；一整天：～雨落都无歇。,,,,hinghwa-RAG词典
4889,蜀月日,sok7guai2dik7,ɬɔk1kuai21liʔ4,一个月。,,,,hinghwa-RAG词典
4890,蜀爿目,sok7be2mak7,ɬɔp1pe21maʔ4,独眼。,,,,hinghwa-RAG词典
4891,蜀世目,sok7se4mak7,ɬɔt1ɬe55maʔ4,一生：尽伊～（让他度过余生）。,,,,hinghwa-RAG词典
4892,蜀世侬,sok7se4nang2,ɬɔt1ɬe42naŋ13,一生。,,,,hinghwa-RAG词典
4893,蜀半零,sok7bua4leng2,ɬɔʔ4pua42lɛŋ13,一大半。,,,,hinghwa-RAG词典
4894,蜀对时,sok7dui4si2,ɬɔt1tui42li13,白天夜晚一整天的时间。,,,,hinghwa-RAG词典
4895,蜀百,sok7ba5,ɬɔp4pa21,一百。,,,,hinghwa-RAG词典
4896,蜀百空八,sok7ba5käng1be5,ɬɔʔ4pa21khɒm42pe21,一百零八。类似的可以说五百空五、八百空四等。,,,,hinghwa-RAG词典
4897,蜀师,sok7so1,ɬɔt1ɬo533,,,,同【蜀师团】。,hinghwa-RAG词典
4898,蜀师团,sok7so1duang2,ɬɔt1ɬo21tuaŋ13,非常多。,,,也叫【蜀师连团】，【蜀师】。,hinghwa-RAG词典
4899,蜀师连团,sok7so1leng2duang2,ɬɔt1ɬo21lɛn21tuaŋ13,,,,同【蜀师团】。,hinghwa-RAG词典
4900,蜀行风,sok7ng2buai1,ɬɔk1ŋ13muai533,流行性传染病。,,,,hinghwa-RAG词典
4901,蜀行风气,sok7ng2buai1ki4,ɬɔk1ŋ21muai13khi42,流行病：感冒亦是～。,,,,hinghwa-RAG词典
4902,蜀合,sok7hak7,ɬɔʔ1haʔ4,一倍：工资加～。,,,,hinghwa-RAG词典
4903,蜀疕屎,sok7pi4sai3,ɬɔp1phi55lai453,一点点：总共那～，无额（总共才一点点，不够）。,,,,hinghwa-RAG词典
4904,蜀坯,sok7puai1,ɬɔp1phuai533,事情在进行的过程中；正在：食～。,,,,hinghwa-RAG词典
4905,蜀抱火,sok7po5huai3,ɬɔp1pho55uai453,压不住的愤怒；一团怒火：拍死侬因凭～。,,,,hinghwa-RAG词典
4906,蜀枝香,sok7ki1hiao1,ɬɔk1ki13iau533,一支香燃完所需的时间：炊金馃着～（蒸金馃要蒸一支香燃完所需的时间）。,,,,hinghwa-RAG词典
4907,蜀枝笔好,sok7ki1bik6ho3,ɬɔk1ki13pi21ho453,文章写得好。,,,,hinghwa-RAG词典
4908,蜀果钱（间见））七空,sok7gä3zing2e4cik6kang1,ɬɔʔ4kɒ453tsiŋ13e42tshiʔ4khaŋ533,旧时街头拉西洋片，只要用一文钱就能在七个孔中看到密封箱子中的西洋图片。,,,,hinghwa-RAG词典
4909,蜀果钱,sok7gä3zing2,ɬɔk4kɒ453tsiŋ13,一文钱：△～买春牛图嫌贵，甘愿买红纸请先生到厝抄写（歇后语，意思是“死算”，,,,,hinghwa-RAG词典
4910,蜀侬蜀相,sok7nang2sok7süäng1,ɬɔt1naŋ13ɬɔt4ɬyɒŋ42,各人都有自己的脾气性情。,,,,hinghwa-RAG词典
4911,蜀面话,sok7ming4ua5,ɬɔp1miŋ42ŋua21,一面之词:伓通听～。②言辞：～好听。,,,,hinghwa-RAG词典
4912,蜀珠,sok7zou1,ɬɔt1tsɔu533,一点点：者～，卜留做甚么（这一点点，干得什么）。,,,,hinghwa-RAG词典
4913,蜀厝侬,sok7cou4nang2,ɬɔt1tshɔu42naŋ13,一家人。,,,,hinghwa-RAG词典
4914,蜀家头,sok7ga1tao2,ɬɔk1kɒ21lau13,一家子。,,,,hinghwa-RAG词典
4915,蜀圈围,sok7këng1ui2,ɬɔʔ1khœŋ21ŋui13,周围：者～都无看见。,,,,hinghwa-RAG词典
4916,蜀脚步,sok7kä1bou5,ɬɔk1khɒ13ɔu21,前后脚；时间上很接近：伊那行无久，合汝那单倒（就差）～。,,,,hinghwa-RAG词典
4917,蜀惯,sok7ge4,ɬɔk4ke42,习惯：摸头发乞摸～落尾。,,,,hinghwa-RAG词典
4918,蜀揽围,sok7lang3ui2,ɬɔt1laŋ13ŋui13,双手合抱那么粗：松树树箍有～咯。,,,,hinghwa-RAG词典
4919,蜀隔,sok7ga5,ɬɔk4ka21,不合群：伊者侬蜀～。,,,,hinghwa-RAG词典
4920,蜀蜀空,sok7sok7kang1,ɬɔt4ɬɔk1khaŋ533,一个窟窿的样子。类似的可以说“蜀蜀目”、“蜀蜀块”、“蜀蜀瓮”等。,,,,hinghwa-RAG词典
4921,蜀蜀样,sok7sok7iao5,ɬɔt4ɬɔʔ4iau21,一样样。,,,,hinghwa-RAG词典
4922,蜀腹膏,sok7bak6go1,ɬɔp1pak4ko533,外表未显露出来的才华：者个侬看通通常，腹肚里有～。,,,,hinghwa-RAG词典
4923,孙,song1,ɬɔŋ533,孙子或孙女。②（姑姑的）侄儿或侄女：阿姑惜～同姑姓（姑姑疼惜侄儿，向着娘家）。,,,,hinghwa-RAG词典
4924,孙婿,song1sai4,ɬɔn21nai42,孙女的丈夫。,,,,hinghwa-RAG词典
4925,孙新妇,song1sing1hu5,ɬon21nim13mu21,孙媳妇。,,,,hinghwa-RAG词典
4926,松担,song1dä1,ɬœn21nɒ533,两端尖的木扁担。,,,,hinghwa-RAG词典
4927,松柏,song1ba5,ɬœm42ma55,松。,,,,hinghwa-RAG词典
4928,松柏蕊,song1ba5lui3,ɬœm21ma55lui453,松球。△亲姆无话讲～（喻无话找话谈）。,,,,hinghwa-RAG词典
4929,松树,song1ciu4,ɬœn55niu42,榕树。,,,,hinghwa-RAG词典
4930,松树籽,song1ciu4zi3,ɬœn21niu55tsi453,榕树的果子。,,,,hinghwa-RAG词典
4931,笋干,song3gua1,ɬɔŋ21kua533,竹笋的干品。,,,,hinghwa-RAG词典
4932,顺风顺水,song5häng1song5zui3,ɬœŋ21ŋɒŋ21ɬœn21nui453,一帆风顺：一路～。②风调雨顺：今年～，收成好。,,,,hinghwa-RAG词典
4933,苏广店,sou1gäng3de4,ɬɔu21kɒn21ne42,卖日常用品的杂货店，相当小百货商店。,,,,hinghwa-RAG词典
4934,苏州码,sou1gäng3de4,sou1ziu1bä3ɬɔu21liu21,pɒ453苏州码子，莆仙旧时使用的记数方法之一。至今仍有少数商家、药店使用。苏州码子形成于明清时期，是我国民间流行的特有的数码，主要用于商业。有十个符号，代表十个数字：〡(1)〢（2）〣（3）〤（4）〥（5）〦（6）〧（7）〨（8）〩（9）○(0)。横写时，若几个竖线数字（〡、〢、〣）在一起，则第一个写苏州码，第二个相应写成汉字“一、二、三”，两种交替下去，以免混淆。如：〨〩(89)，〡〤○〥(1,,,,hinghwa-RAG词典
4935,输赢,sou1üä2,ɬɔu21yɒ13,打赌：两个侬齐～,,,,hinghwa-RAG词典
4936,所费,sou3hui4,ɬɔu21ui42,生活费用：两个侬一个月～千几。,,,,hinghwa-RAG词典
4937,埾,sou5,ɬɔu21,垫：～尿布,,,,hinghwa-RAG词典
4938,水鸡,su3ge1,ɬu21e533,大青蛙。,,,,hinghwa-RAG词典
4939,嗍,su5,ɬu21,吮吸；叮：△鲫母缠脚厄无，胡蜞～血厄有（喻没有带来好处，却是来索取的）。,,,,hinghwa-RAG词典
4940,吮柑,su5gä1,tsu55kɒ533,橙子。,,,,hinghwa-RAG词典
4941,山头尾,sua1tao2buai3,ɬua21lau13uai453,,,,同【山顶尾】’,hinghwa-RAG词典
4942,山头顶,sua1tao2deng3,ɬua21lau13lɛŋ453,,,,同【山顶】。,hinghwa-RAG词典
4943,山会险壁,sua1e5hiang3pia2,ɬua55ɛʔ1hiaŋ453phia13,过分夸张。,,,,hinghwa-RAG词典
4944,山坑,sua1ka1,ɬua21kha533,山谷。,,,又叫【坑豅】，【坑】。,hinghwa-RAG词典
4945,山里,sua1li3,ɬua21li453,山区。,,,,hinghwa-RAG词典
4946,山里角缝,sua1li3gak6pang2,ɬua21li13kap4phaŋ13,,,,同【山里角默】。,hinghwa-RAG词典
4947,山里角默,sua1li3gak6bak7,ɬua21li13kap4paʔ4,深山。,,,又叫【山里角缝】。,hinghwa-RAG词典
4948,山里侬,sua1li3nang2,ɬua21li13naŋ13,家在山区的人。,,,,hinghwa-RAG词典
4949,山里腔,sua1li3kiao1,ɬua21li13khiau533,山区口音。,,,,hinghwa-RAG词典
4950,山顶,sua1deng3,ɬua21lɛŋ453,山上。,,,又叫【山头顶】。,hinghwa-RAG词典
4951,山顶尾,sua1deng3buai3,ɬua21lem13muai453,山顶；山巅。,,,又叫【山头尾】。,hinghwa-RAG词典
4952,山狗,sua1gao3,ɬua21au453,野狗。,,,,hinghwa-RAG词典
4953,山屏,sua1pia2,ɬua21phia13,山崖。,,,,hinghwa-RAG词典
4954,山崘,sua1long4,ɬuaŋ21lɔŋ13,山脊。,,,,hinghwa-RAG词典
4955,山脚,sua1kä1,ɬua21khɒ533,山脚。,,,,hinghwa-RAG词典
4956,山猪,sua1dü1,ɬua21ly533,野猪。,,,,hinghwa-RAG词典
4957,山戴笠,sua1di4bo5,ɬua55ti42po21,云雾笼罩山顶。,,,,hinghwa-RAG词典
4958,山麞,sua1kiao1,ɬua21kiau533,獐。△山里鹧鸪獐，海里马鲛鲳（指山珍海味）。,,,,hinghwa-RAG词典
4959,山豅,sua1lang2,ɬua21laŋ13,山谷。,,,,hinghwa-RAG词典
4960,沙锣,sua1lo2,ɬa21lo13,平面锣，表面微有皱纹。,,,,hinghwa-RAG词典
4961,沙𥭘,sua1tai1,ɬua21tai533,沙筛子。,,,,hinghwa-RAG词典
4962,砂子,sua1zi3,ɬua21tsi453,作为土枪子弹的铅粒。,,,,hinghwa-RAG词典
4963,伞,sua3,ɬua453,雨伞。,,,,hinghwa-RAG词典
4964,洒芫荽葱,sua3iang1sui1cang1,ɬua42ian21ɬui13laŋ533,稀稀拉拉只给一点点。,,,,hinghwa-RAG词典
4965,散,sua4,ɬua42,分开；由聚集而分离：桶箍～落尾。,,,,hinghwa-RAG词典
4966,算,sua4,ɬua42,想；想念：者个题目我～出外咯,,,,hinghwa-RAG词典
4967,算计,sua4ge4,ɬua55e42,想计谋：孔明～。,,,,hinghwa-RAG词典
4968,算好凿歪,sua4ho3cak7uai1,ɬua42ho453tshaʔ4uai533,原来计划得好好的，想不到执行不好而出了问题。,,,,hinghwa-RAG词典
4969,算幸,sua4heng5,ɬua42hɛŋ21,偷懒：伊做工夫大～（他干活儿偷懒）。,,,,hinghwa-RAG词典
4970,算空,sua4kang1,ɬua55khaŋ533,想歪点子：～趁钱。,,,,hinghwa-RAG词典
4971,算盘子,sua4bua2zi3,ɬua42mua21li13,算盘珠子。,,,,hinghwa-RAG词典
4972,算零,sua4leng2,ɬua42lɛŋ13,（卖不出去的货底）便宜地卖掉：剩下物乇全部～。,,,,hinghwa-RAG词典
4973,算数,sua4siao4,ɬua55liau42,,,,同【扣数】。,hinghwa-RAG词典
4974,杀血,sua5he5,ɬua42e21,杀猪时的放血。,,,,hinghwa-RAG词典
4975,煞,sua5,ɬua21,停靠；栖止：蜀头鸟～脊头顶（一只鸟栖止在屋脊上）,,,,hinghwa-RAG词典
4976,煞气,sua5ki4,ɬua55khi42,算了：伓肯笃～,,,,hinghwa-RAG词典
4977,衰,suai1,ɬuai533,倒霉：今旦大～，手机拍伓见落尾。,,,也叫【臭衰】在第35页，【臭头衰】在第35页。,hinghwa-RAG词典
4978,衰旺,suai1äng5,ɬuai13ɒŋ21,倒霉，偏义复词，只取衰的意义。,,,,hinghwa-RAG词典
4979,随,suai2,ɬuai13,（虫类）爬：蜀尾虫～到铺顶（一条虫爬到床上）,,,,hinghwa-RAG词典
4980,甩,suai3,ɬuai453,抽打：用箠～。,,,,hinghwa-RAG词典
4981,隧,suai5,ɬuai21,插在水田中的秧苗的纵行。,,,,hinghwa-RAG词典
4982,遂,suai5,ɬuai21,液体沿着垂直表面成细线状慢慢流下：水寻壁～落尾。,,,,hinghwa-RAG词典
4983,刷齿,suak6ki3,ɬuak4khi453,刷牙。,,,,hinghwa-RAG词典
4984,𥄵,suak7,ɬuaʔ4,扫视：目珠～一下笃知晓有几个侬无来。,,,,hinghwa-RAG词典
4985,蒜头,suang4tao2,ɬuan42nau13,大蒜。,,,,hinghwa-RAG词典
4986,蒜青,suang4ca1,ɬuan55na533,小蒜。,,,,hinghwa-RAG词典
4987,蒜薹,suang4tai1,ɬuan55nai533,从抽薹大蒜中抽出的花茎。,,,,hinghwa-RAG词典
4988,缞,sui1,ɬui533,缨：锦旗～。,,,,hinghwa-RAG词典
4989,随乡随俗,sui2hüäng1sui2sëk7,tiʔ1hiau55ɬui21ɬœʔ4,入乡随俗。,,,,hinghwa-RAG词典
4990,搡,sung5,ɬuŋ21,猛推：～甲倒。,,,,hinghwa-RAG词典
4991,薯干,sü2gua1,ɬy21ua533,地瓜干。,,,也叫【番薯干】。,hinghwa-RAG词典
4992,薯干糜,sü2gua1ma2,ɬy21ua21ma13,地瓜干加入大米中煮的稀饭。,,,,hinghwa-RAG词典
4993,蛇灯,süä2deng1,ɬyɒ21lɛŋ533,由一系列木木板前后衔接，木板上安放灯笼，灯笼内点红烛，每一块木板由一人扛着，连成一条长龙。按一定的路线游行。远观弯弯曲曲，宛如金蛇爬山行。,,,,hinghwa-RAG词典
4994,泉,süä3,ɬyɒ13,从地下流出的水源。,,,,hinghwa-RAG词典
4995,徙,süä3,ɬyɒ453,移动：者铺卜～到底落去（这床铺要移到哪里去）？,,,,hinghwa-RAG词典
4996,世,süä4,ɬyɒ42,接续：～落尾做甚么（接下去干什么）,,,,hinghwa-RAG词典
4997,线香,süä4hiao1,ɬyɒ55iau533,直条式的传统药物蚊香。,,,,hinghwa-RAG词典
4998,相片底,süäng1peng4de3,ɬyɒm21mɛn55te453,,,,同【片底】在第148页。,hinghwa-RAG词典
4999,相应,süäng1ing1,ɬœŋ21ŋiŋ533,便宜：现时汽油并（比）年头厄～,,,,hinghwa-RAG词典
5000,相跳田,süäng1tiao4ceng2,ɬyɒŋ42thiau42tshɛŋ13,象棋下法之一。相的步是走田字格。,,,,hinghwa-RAG词典
5001,嵩重,süäng1dëng5,ɬyɒn13tœŋ21,严重：伊者环病连天～（他这次病得很重）。,,,,hinghwa-RAG词典
5002,常住户,süäng2zü5hou5,ɬyɒn21tsy42ɔu21,,,,同【住户】在第202页。,hinghwa-RAG词典
5003,上帝爷,süäng5de4ia2,ɬyɒn21ne42ia13,玉皇大帝。,,,,hinghwa-RAG词典
5004,摊脚摊手,ta1kä1ta1ciu3,tha21ɒ21tha13liu453,指手画脚；手舞足蹈：欢喜到～。,,,,hinghwa-RAG词典
5005,撑船,ta1sëng2,tha21lœŋ13,早期在溪流中是用竹篙撑船。,,,,hinghwa-RAG词典
5006,撑船阿,ta1sëng2a1,tha21lœŋ13ŋɛʔ4,。,,,,hinghwa-RAG词典
5007,澄,ta2,ta13,澄清：水放许乞～少停囝（水放在那儿澄清一会儿）。,,,,hinghwa-RAG词典
5008,垞,ta2,ta2tha1,3果园。,,,,hinghwa-RAG词典
5009,搭聊,ta4liao2,tha42liau13,玩；玩耍：作业做了咯，我卜去～,,,,hinghwa-RAG词典
5010,搭聊帮,ta4liao2bang1,tha42liau13aŋ453,玩伴儿。,,,,hinghwa-RAG词典
5011,搭聊骰,ta4liao2dao2,tha42liau21tau13,玩色子的游戏。,,,,hinghwa-RAG词典
5012,牚,ta4,tha42,支撑：脚伤大双，鞋乞～必（裂）落尾（脚太大，鞋撑裂了）,,,,hinghwa-RAG词典
5013,搭聊做,ta5liao2zo4,tha55liau55lo42,边干活儿边玩，偷懒。,,,,hinghwa-RAG词典
5014,澈,ta5,tha21,清洁，干净：地下扫～～。②净光：衫褪～。,,,,hinghwa-RAG词典
5015,澈洁,ta5gek5,tha42e21,清洁；干净：者水～，会食得。②清白：伊历史～无污点。,,,,hinghwa-RAG词典
5016,𥭘,tai1,thai533,筛子。,,,,hinghwa-RAG词典
5017,刣,tai2,thai13,杀；宰杀：～侬（杀人）,,,,hinghwa-RAG词典
5018,刣牛心肝,tai2,tai2gu2sing1gua1thai21u13ɬiŋ21,ŋua533比喻人贪婪无度。,,,,hinghwa-RAG词典
